feature,n_phonemes,mean_F,mean_M,mean_diff_F-M,paired_t_stat,paired_t_p,wilcoxon_W,wilcoxon_p
F1_lob,10,-0.3032,-0.255,-0.0483,-0.8651,0.4094,16.0,0.2754
F2_lob,10,0.0018,0.0119,-0.0101,-0.2587,0.8017,24.0,0.7695
