phoneme,L1,gender,feature,n_total,n_missing,pct_missing
ʐ,ru,m,F2,1,0,0.0
ʐ,ru,m,F3,1,0,0.0
ʐ,ru,m,f0,1,0,0.0
ʒ,fr,f,F1,36,0,0.0
ʒ,fr,f,F2,36,0,0.0
ʒ,fr,f,F3,36,0,0.0
ʒ,fr,f,f0,36,3,8.33
ʒ,fr,m,F1,106,0,0.0
ʒ,fr,m,F2,106,0,0.0
ʒ,fr,m,F3,106,0,0.0
ʒ,fr,m,f0,106,14,13.21
ʒ,ru,f,F1,103,0,0.0
ʒ,ru,f,F2,103,0,0.0
ʒ,ru,f,F3,103,0,0.0
ʒ,ru,f,f0,103,23,22.33
ʒ,ru,m,F1,22,0,0.0
ʒ,ru,m,F2,22,0,0.0
ʒ,ru,m,F3,22,0,0.0
ʒ,ru,m,f0,22,4,18.18
ʒʲ,ru,f,F1,2,0,0.0
ʒʲ,ru,f,F2,2,0,0.0
ʒʲ,ru,f,F3,2,0,0.0
ʒʲ,ru,f,f0,2,1,50.0
ʒ̞,ru,f,F1,1,0,0.0
ʒ̞,ru,f,F2,1,0,0.0
ʒ̞,ru,f,F3,1,0,0.0
ʒ̞,ru,f,f0,1,0,0.0
ʒ̥,fr,m,F1,21,0,0.0
ʒ̥,fr,m,F2,21,0,0.0
ʒ̥,fr,m,F3,21,0,0.0
ʒ̥,fr,m,f0,21,13,61.9
ʒ̥,ru,f,F1,20,0,0.0
ʒ̥,ru,f,F2,20,0,0.0
ʒ̥,ru,f,F3,20,0,0.0
ʒ̥,ru,f,f0,20,10,50.0
ʒ̥,ru,m,F1,12,0,0.0
ʒ̥,ru,m,F2,12,0,0.0
ʒ̥,ru,m,F3,12,0,0.0
ʒ̥,ru,m,f0,12,7,58.33
ʝ,ru,f,F1,3,0,0.0
ʝ,ru,f,F2,3,0,0.0
ʝ,ru,f,F3,3,0,0.0
ʝ,ru,f,f0,3,0,0.0
