representation,layer,within_phoneme_sim,between_phoneme_sim,within_between_ratio,n_within_pairs,n_between_pairs
whisper,4,0.8361,0.8092,1.0332,4000,4000
xlsr,3,0.7204,0.5602,1.286,4000,4000
