phoneme,N,k_speakers,var_total,var_inter_speaker,var_intra_residual,pct_inter,pct_intra_residual
a,3099,19,0.6241580648743973,3.2503444491145075,0.6088102223690979,3.0257001872939853,96.97429981270601
ɑ,1007,19,0.27572913532672755,4.907639879166761,0.1913420974834881,31.846708472624837,68.15329152737517
e,241,19,0.22105827052671045,0.5078420306232085,0.19780553322158898,17.229915083470473,82.77008491652953
ɛ,347,19,0.15455269229013077,1.164023550027417,0.09915490131674312,39.181548728413574,60.81845127158643
i,1872,19,0.14851259643059692,3.906744844847255,0.11200521355337088,25.307571614452662,74.69242838554733
o,114,19,0.058747735421656504,0.2317375287159949,0.025970721955360807,62.83466479580901,37.16533520419099
u,713,19,0.13339439382177273,1.248601555470886,0.10446971239571505,23.663490463441526,76.33650953655847
y,538,19,0.6994723641011387,2.888832537088822,0.6235407974079242,13.843631359090473,86.15636864090953
ø,228,19,0.08766252321947769,0.6680834772521583,0.037674115695131995,60.431505267697894,39.568494732302106
ə,117,14,0.842783691061391,1.1868294085040707,0.7993604451705674,15.781836486297415,84.21816351370258
