representation,accuracy,macro_f1
acoustic (F1+F2)_all,0.6186563557274045,0.4244216676173066
acoustic (F1+F2)_L1,0.6491183235369282,0.45272820890012644
acoustic (F1+F2)_L2,0.5762090304836122,0.3787004838512053
whisper_layer4_all,0.7153214113098115,0.6423388901865076
whisper_layer4_L1,0.715819064656274,0.6247756086966445
whisper_layer4_L2,0.6974558789823516,0.597652729722082
xlsr_layer3_all,0.7854035766070565,0.7069371949473676
xlsr_layer3_L1,0.8052645029389215,0.7229118127558667
xlsr_layer3_L2,0.7556727022690809,0.6795299807540452
